"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 16 09:15:04 UTC 2021","Fri Jul 16 09:15:04 UTC 2021","4","","org.entando.kubernetes.controller.coordinator.EntandoOperatorMatcherTest","","org.entando.kubernetes.controller.coordinator.EntandoOperatorMatcherTest","testOperatorIdVariableMissing","testOperatorIdVariableMissing()",""
"passed","Fri Jul 16 09:17:44 UTC 2021","Fri Jul 16 09:17:44 UTC 2021","299","","org.entando.kubernetes.controller.coordinator.PodManagementTests","","org.entando.kubernetes.controller.coordinator.PodManagementTests","shouldKillAllPreviousPods","shouldKillAllPreviousPods()","Should always kill existing pods running against the same resource to avoid racing conditions"
"passed","Fri Jul 16 09:17:44 UTC 2021","Fri Jul 16 09:17:44 UTC 2021","4","","org.entando.kubernetes.controller.coordinator.UtilsTest","","org.entando.kubernetes.controller.coordinator.UtilsTest","shouldDeleteLivenessFileWithoutFailing","shouldDeleteLivenessFileWithoutFailing()",""
"passed","Fri Jul 16 09:14:15 UTC 2021","Fri Jul 16 09:14:31 UTC 2021","16202","","org.entando.kubernetes.controller.coordinator.DefaultSimpleEntandoOperationsTest","","org.entando.kubernetes.controller.coordinator.DefaultSimpleEntandoOperationsTest","shouldListInSingleNamespace","shouldListInSingleNamespace()","Should list in a single namespace"
"passed","Fri Jul 16 09:15:56 UTC 2021","Fri Jul 16 09:16:08 UTC 2021","12263","","org.entando.kubernetes.controller.coordinator.DefaultSimpleKubernetesClientTest","","org.entando.kubernetes.controller.coordinator.DefaultSimpleKubernetesClientTest","shouldIssueDeathEvent","shouldIssueDeathEvent()","Should issue Death events"
"passed","Fri Jul 16 09:15:04 UTC 2021","Fri Jul 16 09:15:04 UTC 2021","53","","org.entando.kubernetes.controller.coordinator.EntandoOperatorMatcherTest","","org.entando.kubernetes.controller.coordinator.EntandoOperatorMatcherTest","testOperatorIdAnnotationMissing","testOperatorIdAnnotationMissing()",""
"passed","Fri Jul 16 09:13:31 UTC 2021","Fri Jul 16 09:13:45 UTC 2021","14355","","org.entando.kubernetes.controller.coordinator.DefaultSimpleEntandoOperationsTest","","org.entando.kubernetes.controller.coordinator.DefaultSimpleEntandoOperationsTest","shouldAndAndRemoveAnnotations","shouldAndAndRemoveAnnotations()","Should add and remove annotations"
"passed","Fri Jul 16 09:16:08 UTC 2021","Fri Jul 16 09:16:37 UTC 2021","28875","","org.entando.kubernetes.controller.coordinator.DefaultSimpleKubernetesClientTest","","org.entando.kubernetes.controller.coordinator.DefaultSimpleKubernetesClientTest","shouldCreateControllerSecrets","shouldCreateControllerSecrets()","Should overwrite controller secrets"
"passed","Fri Jul 16 09:15:04 UTC 2021","Fri Jul 16 09:15:04 UTC 2021","3","","org.entando.kubernetes.controller.coordinator.EntandoOperatorMatcherTest","","org.entando.kubernetes.controller.coordinator.EntandoOperatorMatcherTest","testVersionRangeInactive","testVersionRangeInactive()",""
"passed","Fri Jul 16 09:15:03 UTC 2021","Fri Jul 16 09:15:03 UTC 2021","151","","org.entando.kubernetes.controller.coordinator.CrdManagementTest","","org.entando.kubernetes.controller.coordinator.CrdManagementTest","testCustomResourceEvent","testCustomResourceEvent()","New instances of my CustomResources should result in my controller image to be executed against the resource"
