GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,DefaultSimpleEntandoOperations,297,0,4,0,56,0,29,0,27,0
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,DefaultSimpleKubernetesClient,432,122,2,0,77,24,24,10,23,10
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,TrustStoreSecretRegenerator,2,63,3,7,1,15,3,6,0,4
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoResourceObserver,71,558,12,50,11,119,14,51,3,31
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,CustomResourceStringWatcher,0,67,0,0,0,19,0,8,0,8
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,DeathEventIssuerBase,78,6,0,0,13,3,1,1,1,1
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,Liveness,20,45,0,0,3,11,1,7,1,7
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,CrdNameMapSync,0,85,1,1,0,20,1,7,0,7
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,AnnotationNames,0,70,0,0,0,10,0,3,0,3
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,SimpleKubernetesClient,0,4,0,0,0,1,0,1,0,1
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoOperatorMatcher,0,89,0,10,0,16,0,12,0,7
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,CoordinatorUtils,0,121,0,0,0,19,0,15,0,15
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoControllerCoordinator,41,485,2,12,7,87,4,35,2,30
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,OperatorProcessingInstruction,0,44,0,0,0,5,0,1,0,1
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,RestartingWatcher,13,65,1,1,3,19,2,2,1,2
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ControllerCoordinatorProperty,0,94,0,0,0,10,0,1,0,1
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ControllerImageOverridesWatcher,0,35,0,0,0,11,0,6,0,6
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ControllerCoordinatorConfig,13,54,0,0,4,6,2,4,2,4
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ControllerExecutor,0,278,2,6,0,52,2,13,0,11
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ConfigListener,3,81,1,1,1,16,1,8,0,8
