"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 03 10:49:18 UTC 2021","Fri Dec 03 10:49:18 UTC 2021","1","","org.entando.k8s.db.job.DbUtilsTest","","org.entando.k8s.db.job.DbUtilsTest","shouldNotBreakWhenSanitizingANulLValue","shouldNotBreakWhenSanitizingANulLValue()",""
"passed","Fri Dec 03 10:49:18 UTC 2021","Fri Dec 03 10:49:19 UTC 2021","541","","org.entando.k8s.db.job.CreateOracle11SchemaTest","","org.entando.k8s.db.job.CreateOracle11SchemaTest","simpleCreate","simpleCreate()",""
"broken","Fri Dec 03 10:49:18 UTC 2021","Fri Dec 03 10:49:18 UTC 2021","41","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","testDatasource","testDatasource()",""
"passed","Fri Dec 03 10:49:05 UTC 2021","Fri Dec 03 10:49:08 UTC 2021","3878","","org.entando.k8s.db.job.CreateOracle12SchemaTest","","org.entando.k8s.db.job.CreateOracle12SchemaTest","simpleCreate","simpleCreate()",""
"broken","Fri Dec 03 10:49:18 UTC 2021","Fri Dec 03 10:49:18 UTC 2021","62","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","testIdempotent","testIdempotent()",""
"passed","Fri Dec 03 10:49:04 UTC 2021","Fri Dec 03 10:49:04 UTC 2021","580","","org.entando.k8s.db.job.CreateMysqlSchemaTest","","org.entando.k8s.db.job.CreateMysqlSchemaTest","testDatasource","testDatasource()",""
"passed","Fri Dec 03 10:49:18 UTC 2021","Fri Dec 03 10:49:18 UTC 2021","6","","org.entando.k8s.db.job.DbUtilsTest","","org.entando.k8s.db.job.DbUtilsTest","shouldThrowExceptionWhenReceivingValuesWithQuotesOrDoubleQuotes","shouldThrowExceptionWhenReceivingValuesWithQuotesOrDoubleQuotes()",""
"passed","Fri Dec 03 10:49:08 UTC 2021","Fri Dec 03 10:49:10 UTC 2021","1741","","org.entando.k8s.db.job.CreateOracle12SchemaTest","","org.entando.k8s.db.job.CreateOracle12SchemaTest","testIdempotent","testIdempotent()",""
"broken","Fri Dec 03 10:49:18 UTC 2021","Fri Dec 03 10:49:18 UTC 2021","44","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","testSimpleCreate","testSimpleCreate()",""
"passed","Fri Dec 03 10:49:19 UTC 2021","Fri Dec 03 10:49:19 UTC 2021","519","","org.entando.k8s.db.job.CreateOracle11SchemaTest","","org.entando.k8s.db.job.CreateOracle11SchemaTest","testIdempotent","testIdempotent()",""
"broken","Fri Dec 03 10:49:18 UTC 2021","Fri Dec 03 10:49:18 UTC 2021","303","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","testSingleAccess","testSingleAccess()",""
"passed","Fri Dec 03 10:49:03 UTC 2021","Fri Dec 03 10:49:04 UTC 2021","759","","org.entando.k8s.db.job.CreateMysqlSchemaTest","","org.entando.k8s.db.job.CreateMysqlSchemaTest","testSimpleCreate","testSimpleCreate()",""
"passed","Fri Dec 03 10:49:04 UTC 2021","Fri Dec 03 10:49:04 UTC 2021","310","","org.entando.k8s.db.job.CreateMysqlSchemaTest","","org.entando.k8s.db.job.CreateMysqlSchemaTest","testIdempotent","testIdempotent()",""
"passed","Fri Dec 03 10:49:18 UTC 2021","Fri Dec 03 10:49:18 UTC 2021","4","","org.entando.k8s.db.job.DbUtilsTest","","org.entando.k8s.db.job.DbUtilsTest","shouldSurroundTheReceivedValueWithDoubleQuotes","shouldSurroundTheReceivedValueWithDoubleQuotes()",""
"passed","Fri Dec 03 10:49:21 UTC 2021","Fri Dec 03 10:49:21 UTC 2021","440","","org.entando.k8s.db.job.CreateOracle11SchemaTest","","org.entando.k8s.db.job.CreateOracle11SchemaTest","testDatasource","testDatasource()",""
"passed","Fri Dec 03 10:49:00 UTC 2021","Fri Dec 03 10:49:02 UTC 2021","2153","","org.entando.k8s.db.job.CreateMysqlSchemaTest","","org.entando.k8s.db.job.CreateMysqlSchemaTest","testSingleAccess","testSingleAccess()",""
"passed","Fri Dec 03 10:49:04 UTC 2021","Fri Dec 03 10:49:05 UTC 2021","145","","org.entando.k8s.db.job.CreateMysqlSchemaTest","","org.entando.k8s.db.job.CreateMysqlSchemaTest","testForcePasswordReset","testForcePasswordReset()",""
"passed","Fri Dec 03 10:49:19 UTC 2021","Fri Dec 03 10:49:21 UTC 2021","1145","","org.entando.k8s.db.job.CreateOracle11SchemaTest","","org.entando.k8s.db.job.CreateOracle11SchemaTest","singleAccess","singleAccess()",""
"passed","Fri Dec 03 10:49:15 UTC 2021","Fri Dec 03 10:49:18 UTC 2021","2926","","org.entando.k8s.db.job.CreateOracle12SchemaTest","","org.entando.k8s.db.job.CreateOracle12SchemaTest","testForcePasswordReset","testForcePasswordReset()",""
"broken","Fri Dec 03 10:49:18 UTC 2021","Fri Dec 03 10:49:18 UTC 2021","53","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","","org.entando.k8s.db.job.CreatePostgresqlSchemaTest","testForcePasswordReset","testForcePasswordReset()",""
"passed","Fri Dec 03 10:49:10 UTC 2021","Fri Dec 03 10:49:13 UTC 2021","3048","","org.entando.k8s.db.job.CreateOracle12SchemaTest","","org.entando.k8s.db.job.CreateOracle12SchemaTest","singleAccess","singleAccess()",""
"passed","Fri Dec 03 10:49:13 UTC 2021","Fri Dec 03 10:49:15 UTC 2021","1567","","org.entando.k8s.db.job.CreateOracle12SchemaTest","","org.entando.k8s.db.job.CreateOracle12SchemaTest","testDatasource","testDatasource()",""
"passed","Fri Dec 03 10:49:21 UTC 2021","Fri Dec 03 10:49:22 UTC 2021","645","","org.entando.k8s.db.job.CreateOracle11SchemaTest","","org.entando.k8s.db.job.CreateOracle11SchemaTest","testForcePasswordReset","testForcePasswordReset()",""
