GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Kubernetes Service,org.entando.kubernetes.model.namespace,ObservedNamespaces,0,65,1,3,0,16,1,6,0,5
Entando Kubernetes Service,org.entando.kubernetes,EntandoKubernetesJavaApplication,5,3,0,0,2,1,1,1,1,1
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoDeBundleResourceAssembler,0,69,0,0,0,10,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,KubernetesNamespaceResourceAssembler,0,79,0,0,0,9,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoPluginResourceAssembler,0,93,0,0,0,12,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppResourceAssembler,0,106,0,0,0,13,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppPluginLinkResourceAssembler,0,102,0,0,0,13,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,JwtAuthorityExtractor,10,3,0,0,2,1,2,1,2,1
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoAppService,0,31,0,0,0,6,0,5,0,5
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoLinkService,42,203,0,0,7,33,5,10,5,10
Entando Kubernetes Service,org.entando.kubernetes.service,KubernetesUtils,51,102,2,4,8,24,3,8,1,7
Entando Kubernetes Service,org.entando.kubernetes.service,KubernetesClientCache.new TimerTask() {...},0,10,0,0,0,3,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.service,OperatorDeploymentType,0,24,0,0,0,3,0,1,0,1
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoKubernetesResourceCollector,0,64,0,2,0,11,0,10,0,9
Entando Kubernetes Service,org.entando.kubernetes.service,KubernetesClientCache,11,80,0,0,3,17,1,6,1,6
Entando Kubernetes Service,org.entando.kubernetes.service,IngressService,0,60,0,0,0,15,0,5,0,5
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoPluginService,29,195,1,7,3,40,2,13,1,10
Entando Kubernetes Service,org.entando.kubernetes.service,DefaultKubernetesClientBuilder,21,3,2,0,6,1,2,1,1,1
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoDeBundleService,8,64,0,0,1,11,1,8,1,8
Entando Kubernetes Service,org.entando.kubernetes.service,OperatorDeploymentType.new OperatorDeploymentType() {...},0,17,0,4,0,2,0,4,0,2
Entando Kubernetes Service,org.entando.kubernetes.service,OperatorDeploymentType.new OperatorDeploymentType() {...},0,19,1,5,0,2,1,4,0,2
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoPluginController,3,237,0,2,1,46,1,16,1,15
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoLinksController,12,268,4,6,0,44,6,16,2,15
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoAppController,11,200,1,1,2,40,1,14,0,14
Entando Kubernetes Service,org.entando.kubernetes.controller,ApiEntryPointController,0,74,0,0,0,8,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.controller,ObservedNamespaceController,0,118,0,2,0,16,0,6,0,5
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoDeBundleController,14,117,1,3,1,21,3,7,2,6
Entando Kubernetes Service,org.entando.kubernetes.config,KubernetesConfiguration,13,19,0,0,2,4,1,2,1,2
Entando Kubernetes Service,org.entando.kubernetes.config,OpenApiConfig,0,58,0,0,0,15,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.config,CorsConfiguration,33,0,0,0,8,0,2,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.config,SecurityConfiguration,0,112,0,0,0,36,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.exception,NotFoundExceptionFactory,52,37,0,0,9,9,5,3,5,3
Entando Kubernetes Service,org.entando.kubernetes.exception,BadRequestExceptionFactory,38,24,0,0,8,5,3,2,3,2
